filepath,subject,session,mode,capture_label,timestamp
raw/user1/s20260517_161816/0001.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0002.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0003.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0004.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0005.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0006.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw\user3\s20260611_151447\0001.jpg,user3,s20260611_151447,posed,neutral,2026-06-11T15:15:04
raw\user3\s20260611_151447\0002.jpg,user3,s20260611_151447,posed,neutral,2026-06-11T15:15:05
raw\user3\s20260611_151447\0003.jpg,user3,s20260611_151447,posed,neutral,2026-06-11T15:15:05
raw\user3\s20260611_161554\0001.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:02
raw\user3\s20260611_161554\0002.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:02
raw\user3\s20260611_161554\0003.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:02
raw\user3\s20260611_161554\0004.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:06
raw\user3\s20260611_161554\0005.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:07
raw\user3\s20260611_161554\0006.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:07
raw\user3\s20260611_161554\0007.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:08
raw\user3\s20260611_161554\0008.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:08
raw\user3\s20260611_161554\0009.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:08
raw\user3\s20260611_161554\0010.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:10
raw\user3\s20260611_161554\0011.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:10
raw\user3\s20260611_161554\0012.jpg,user3,s20260611_161554,posed,neutral,2026-06-11T16:16:11
