filepath,subject,session,mode,capture_label,timestamp
raw/user1/s20260517_161816/0001.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0002.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0003.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0004.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0005.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0006.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw\user6\s20260614_171934\0001.jpg,user6,s20260614_171934,posed,neutral,2026-06-14T17:21:48
raw\user6\s20260614_171934\0002.jpg,user6,s20260614_171934,posed,neutral,2026-06-14T17:21:49
raw\user6\s20260614_171934\0003.jpg,user6,s20260614_171934,posed,neutral,2026-06-14T17:21:49
raw\user6\s20260614_171934\0004.jpg,user6,s20260614_171934,posed,neutral,2026-06-14T17:21:52
raw\user6\s20260614_171934\0005.jpg,user6,s20260614_171934,posed,neutral,2026-06-14T17:21:55
raw\user6\s20260614_171934\0006.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:23:58
raw\user6\s20260614_171934\0007.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:23:58
raw\user6\s20260614_171934\0008.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:23:58
raw\user6\s20260614_171934\0009.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:04
raw\user6\s20260614_171934\0010.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:04
raw\user6\s20260614_171934\0011.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:05
raw\user6\s20260614_171934\0012.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:07
raw\user6\s20260614_171934\0013.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:08
raw\user6\s20260614_171934\0014.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:08
raw\user6\s20260614_171934\0015.jpg,user6,s20260614_171934,posed,happiness,2026-06-14T17:24:10
