filepath,subject,mode,capture_label,predicted_label,final_label,reviewed
raw/user1/s20260517_161816/0001.jpg,user1,posed,neutral,neutral,neutral,True
raw/user1/s20260517_161816/0002.jpg,user1,posed,neutral,neutral,neutral,True
raw/user1/s20260517_161816/0003.jpg,user1,posed,neutral,neutral,neutral,True
raw/user1/s20260517_161816/0004.jpg,user1,posed,happiness,neutral,happiness,True
raw/user1/s20260517_161816/0005.jpg,user1,posed,happiness,sadness,happiness,True
raw/user1/s20260517_161816/0006.jpg,user1,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0001.jpg,user6,posed,neutral,anger,neutral,True
raw\user6\s20260614_171934\0002.jpg,user6,posed,neutral,surprise,fear,True
raw\user6\s20260614_171934\0003.jpg,user6,posed,neutral,surprise,neutral,True
raw\user6\s20260614_171934\0004.jpg,user6,posed,neutral,surprise,neutral,True
raw\user6\s20260614_171934\0005.jpg,user6,posed,neutral,surprise,neutral,True
raw\user6\s20260614_171934\0006.jpg,user6,posed,happiness,happiness,happiness,True
raw\user6\s20260614_171934\0007.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0008.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0009.jpg,user6,posed,happiness,fear,happiness,True
raw\user6\s20260614_171934\0010.jpg,user6,posed,happiness,happiness,happiness,True
raw\user6\s20260614_171934\0011.jpg,user6,posed,happiness,happiness,happiness,True
raw\user6\s20260614_171934\0012.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0013.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0014.jpg,user6,posed,happiness,happiness,happiness,True
raw\user6\s20260614_171934\0015.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0016.jpg,user6,posed,happiness,happiness,happiness,True
raw\user6\s20260614_171934\0017.jpg,user6,posed,happiness,happiness,happiness,True
raw\user6\s20260614_171934\0018.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0019.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0020.jpg,user6,posed,happiness,neutral,happiness,True
raw\user6\s20260614_171934\0021.jpg,user6,posed,surprise,surprise,happiness,True
raw\user6\s20260614_171934\0022.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0023.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0024.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0025.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0026.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0027.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0028.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0029.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0030.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0031.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0032.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0033.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0034.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0035.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0036.jpg,user6,posed,surprise,surprise,surprise,True
raw\user6\s20260614_171934\0037.jpg,user6,posed,anger,happiness,anger,True
raw\user6\s20260614_171934\0038.jpg,user6,posed,anger,neutral,surprise,True
raw\user6\s20260614_171934\0039.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0040.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0041.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0042.jpg,user6,posed,anger,fear,anger,True
raw\user6\s20260614_171934\0043.jpg,user6,posed,anger,fear,anger,True
raw\user6\s20260614_171934\0044.jpg,user6,posed,anger,happiness,anger,True
raw\user6\s20260614_171934\0045.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0046.jpg,user6,posed,anger,fear,anger,True
raw\user6\s20260614_171934\0047.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0048.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0049.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0050.jpg,user6,posed,anger,fear,anger,True
raw\user6\s20260614_171934\0051.jpg,user6,posed,anger,neutral,anger,True
raw\user6\s20260614_171934\0052.jpg,user6,posed,sadness,anger,neutral,True
raw\user6\s20260614_171934\0053.jpg,user6,posed,sadness,fear,anger,True
raw\user6\s20260614_171934\0054.jpg,user6,posed,sadness,anger,sadness,True
raw\user6\s20260614_171934\0055.jpg,user6,posed,sadness,surprise,sadness,True
raw\user6\s20260614_171934\0056.jpg,user6,posed,sadness,neutral,sadness,True
raw\user6\s20260614_171934\0057.jpg,user6,posed,sadness,fear,sadness,True
raw\user6\s20260614_171934\0058.jpg,user6,posed,sadness,anger,sadness,True
raw\user6\s20260614_171934\0059.jpg,user6,posed,sadness,anger,sadness,True
raw\user6\s20260614_171934\0060.jpg,user6,posed,sadness,anger,sadness,True
raw\user6\s20260614_171934\0061.jpg,user6,posed,sadness,fear,sadness,True
raw\user6\s20260614_171934\0062.jpg,user6,posed,sadness,surprise,sadness,True
