filepath,subject,session,mode,capture_label,timestamp
raw/user1/s20260517_161816/0001.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0002.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0003.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0004.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0005.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0006.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw\user4\s20260613_213103\0001.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:28
raw\user4\s20260613_213103\0002.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:28
raw\user4\s20260613_213103\0003.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:28
raw\user4\s20260613_213103\0004.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:34
raw\user4\s20260613_213103\0005.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:35
raw\user4\s20260613_213103\0006.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:35
raw\user4\s20260613_213103\0007.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:41
raw\user4\s20260613_213103\0008.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:42
raw\user4\s20260613_213103\0009.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:43
raw\user4\s20260613_213103\0010.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:55
raw\user4\s20260613_213103\0011.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:55
raw\user4\s20260613_213103\0012.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:32:55
raw\user4\s20260613_213103\0013.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:33:30
raw\user4\s20260613_213103\0014.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:33:30
raw\user4\s20260613_213103\0015.jpg,user4,s20260613_213103,posed,neutral,2026-06-13T21:33:30
