filepath,subject,mode,capture_label,predicted_label,final_label,reviewed
raw/user1/s20260614_204755/0001.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0002.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0003.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0004.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0005.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0006.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0007.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0008.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0009.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0010.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0011.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0012.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0013.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0014.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0015.jpg,user1,posed,neutral,,neutral,True
raw/user1/s20260614_204755/0016.jpg,user1,posed,happiness,,neutral,True
raw/user1/s20260614_204755/0017.jpg,user1,posed,happiness,,neutral,True
raw/user1/s20260614_204755/0018.jpg,user1,posed,happiness,,neutral,True
raw/user1/s20260614_204755/0019.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0020.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0021.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0025.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0026.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0027.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0028.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0029.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0030.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0031.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0032.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0033.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0034.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0035.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0036.jpg,user1,posed,happiness,,happiness,True
raw/user1/s20260614_204755/0037.jpg,user1,posed,surprise,,neutral,True
raw/user1/s20260614_204755/0038.jpg,user1,posed,surprise,,neutral,True
raw/user1/s20260614_204755/0039.jpg,user1,posed,surprise,,neutral,True
raw/user1/s20260614_204755/0040.jpg,user1,posed,surprise,,surprise,True
raw/user1/s20260614_204755/0041.jpg,user1,posed,surprise,,surprise,True
