filepath,subject,session,mode,capture_label,timestamp
raw/user1/s20260517_161816/0001.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0002.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0003.jpg,user1,s20260517_161816,posed,neutral,2026-05-17T16:18:24
raw/user1/s20260517_161816/0004.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0005.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw/user1/s20260517_161816/0006.jpg,user1,s20260517_161816,posed,happiness,2026-05-17T16:18:30
raw\user1\s20260614_204755\0001.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:47:59
raw\user1\s20260614_204755\0002.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:47:59
raw\user1\s20260614_204755\0003.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:00
raw\user1\s20260614_204755\0004.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:07
raw\user1\s20260614_204755\0005.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:07
raw\user1\s20260614_204755\0006.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:07
raw\user1\s20260614_204755\0007.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:10
raw\user1\s20260614_204755\0008.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:10
raw\user1\s20260614_204755\0009.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:10
raw\user1\s20260614_204755\0010.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:16
raw\user1\s20260614_204755\0011.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:16
raw\user1\s20260614_204755\0012.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:17
raw\user1\s20260614_204755\0013.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:22
raw\user1\s20260614_204755\0014.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:22
raw\user1\s20260614_204755\0015.jpg,user1,s20260614_204755,posed,neutral,2026-06-14T20:48:23
